repetition,training_paths,degree,training_seed_key,evaluation_seed_key,training_seconds,evaluation_seconds,raw_value,raw_se,value,standard_error,lower,upper,observations,confidence,difference_from_pde,early_exercise_fraction,largest_condition_number,reduced_degree_fits,missing_fits
0,5000,1,1.0.1,1.0.0,0.004647875000046042,0.008915917000194895,6.020511659702573,0.02408149351784397,5.970668702012135,0.016280157262191407,5.938759793897647,6.0025776101266235,100000,0.95,-0.07198334772987902,0.29801,1.0000000000000007,0,0
0,5000,2,1.0.2,1.0.0,0.0034075830003530427,0.00856008299979294,6.047585917808341,0.02254451127948122,5.997742960117901,0.0182067049383408,5.9620580422397245,6.033427877996078,100000,0.95,-0.04490908962411311,0.36125,3.2085069341247507,0,0
0,5000,3,1.0.3,1.0.0,0.0035249170000497543,0.008112500000152068,6.046044369656492,0.02349187035899105,5.996201411966055,0.017211855788141363,5.9624663861933564,6.029936437738754,100000,0.95,-0.04645063777595926,0.34877,10.547359280719302,0,0
0,5000,5,1.0.4,1.0.0,0.003997249999883934,0.008808790999864868,6.035961980287077,0.022435305510556166,5.986119022596637,0.018301070339664504,5.950249149691826,6.021988895501448,100000,0.95,-0.056533027145377446,0.4149,290.21242526347805,0,0
0,25000,1,1.0.5,1.0.0,0.01601162499991915,0.008796125000117172,6.019416198239883,0.02431506992895882,5.969573240549446,0.016023698657423598,5.938166988147855,6.0009794929510365,100000,0.95,-0.0730788091925687,0.28541,1.0000000000000007,0,0
0,25000,2,1.0.6,1.0.0,0.01756229100010387,0.008842875000027561,6.061416916790774,0.02345397737146002,6.011573959100337,0.01731315356014433,5.977640390939688,6.045507527260987,100000,0.95,-0.031078090641677214,0.33803,3.1514121067364975,0,0
0,25000,3,1.0.7,1.0.0,0.01705395800036058,0.009411166999598208,6.067285544192627,0.02322964303115654,6.017442586502188,0.01763261199481639,5.982882883736438,6.052002289267938,100000,0.95,-0.025209463239826313,0.3719,11.093028570983693,0,0
0,25000,5,1.0.8,1.0.0,0.01830408300020281,0.009020832999794948,6.064799601402202,0.022900006406125797,6.014956643711762,0.018004965914003107,5.979667131841465,6.050246155582059,100000,0.95,-0.027695406030252556,0.38788,290.7723027330435,0,0
0,100000,1,1.0.9,1.0.0,0.06194950000008248,0.008880833000148414,6.0206316825670765,0.024466651184591178,5.970788724876637,0.015827364415974765,5.9397672851749,6.001810164578373,100000,0.95,-0.07186332486537772,0.28325,1.0000000000000018,0,0
0,100000,2,1.0.10,1.0.0,0.06344016699995336,0.00905129200009469,6.063884420192879,0.023343121716898757,6.01404146250244,0.017443162119076382,5.9798530791643785,6.048229845840501,100000,0.95,-0.02861058723957477,0.34781,3.177243961722317,0,0
0,100000,3,1.0.11,1.0.0,0.06662508299996261,0.009204291000060039,6.071082333590409,0.023114957732029692,6.021239375899969,0.017787475383141942,5.986376142796717,6.056102609003222,100000,0.95,-0.021412673842045038,0.37286,10.784686366906188,0,0
0,100000,5,1.0.12,1.0.0,0.07364962500014371,0.009782666999853973,6.073229853841405,0.02314963353732375,6.023386896150966,0.017788015695100048,5.988522604042918,6.058251188259015,100000,0.95,-0.01926515359104819,0.38374,289.07535086491737,0,0
1,5000,1,1.1.1,1.1.0,0.0033085420000134036,0.008607875000052445,6.00848309064606,0.023938941179979474,5.998913026768789,0.01649450410196798,5.966584001483139,6.031242052054439,100000,0.95,-0.043739022973225516,0.30197,1.0000000000000004,0,0
1,5000,2,1.1.2,1.1.0,0.0034856659999604744,0.0087747079996916,6.042265979484777,0.022586075460647437,6.0326959156075075,0.018114868869300048,5.997190995295781,6.068200835919234,100000,0.95,-0.009956134134506911,0.37283,3.2282340042990367,0,0
1,5000,3,1.1.3,1.1.0,0.003638624999894091,0.008394875000249158,6.043533898467282,0.023207472827082975,6.03396383459001,0.017495268390238437,5.999673323600974,6.068254345579047,100000,0.95,-0.00868821515200402,0.35671,10.422426921183082,0,0
1,5000,5,1.1.4,1.1.0,0.004171042000052694,0.009231500000169035,6.045351623115372,0.022986859466219155,6.035781559238101,0.01780931605689079,6.000875518682771,6.070687599793431,100000,0.95,-0.006870490503913196,0.40484,263.7622386368524,0,0
1,25000,1,1.1.5,1.1.0,0.01665570800014393,0.00905349999993632,6.012536064240044,0.024268541556114416,6.002966000362774,0.016116219855684667,5.971378407549883,6.034553593175664,100000,0.95,-0.039686049379240806,0.30151,1.0000000000000009,0,0
1,25000,2,1.1.6,1.1.0,0.016037165999932768,0.008707584000148927,6.046933201730732,0.02281772056857005,6.037363137853461,0.017874320525709614,6.002329689338296,6.072396586368626,100000,0.95,-0.005288911888553294,0.36355,3.159177697795053,0,0
1,25000,3,1.1.7,1.1.0,0.017219082999872626,0.009040041999924142,6.065913437054361,0.022804190847483558,6.056343373177088,0.018007419635680404,6.021049052042465,6.091637694311712,100000,0.95,0.013691323435073954,0.38298,10.898822587006606,0,0
1,25000,5,1.1.8,1.1.0,0.019327999999859458,0.00943395900003452,6.063350797454074,0.022868702649435295,6.0537807335768035,0.017940504391683616,6.018617565497877,6.08894390165573,100000,0.95,0.011128683834789044,0.38878,279.2487967810966,0,0
1,100000,1,1.1.9,1.1.0,0.06123187500043059,0.00907545800009757,5.99376695636633,0.024493044765234357,5.9841968924890585,0.015712518111967746,5.953400550131459,6.014993234846658,100000,0.95,-0.058455157252955914,0.27735,1.000000000000002,0,0
1,100000,2,1.1.10,1.1.0,0.062209207999785576,0.008997833000194078,6.055410552949565,0.02343606177870803,6.045840489072295,0.017309023965930474,6.011915014865543,6.079765963279047,100000,0.95,0.003188439330280346,0.34527,3.1662003276944897,0,0
1,100000,3,1.1.11,1.1.0,0.07004800000004252,0.009265624999898137,6.072797194766163,0.02320536688793571,6.063227130888891,0.017647970361579682,6.028637325913073,6.097816935864709,100000,0.95,0.020575081146876784,0.37144,10.683935197757279,0,0
1,100000,5,1.1.12,1.1.0,0.07699854199972833,0.012545375000172498,6.072406788324851,0.022947745006688367,6.06283672444758,0.017918936122021063,6.0277158299120694,6.097957618983091,100000,0.95,0.02018467470556562,0.39266,267.7953860541648,0,0
2,5000,1,1.2.1,1.2.0,0.00352275000022928,0.009129167000082816,5.913075117394007,0.02407359267488362,5.922540273950291,0.01583655995402155,5.891500811107017,5.953579736793564,100000,0.95,-0.12011177579172383,0.26855,1.0000000000000002,0,0
2,5000,2,1.2.2,1.2.0,0.003527166999901965,0.009007167000163463,5.995810224373478,0.023183184453023028,6.005275380929762,0.017385162777868463,5.971200675587527,6.039350086271996,100000,0.95,-0.03737666881225277,0.32897,3.200774557532572,0,0
2,5000,3,1.2.3,1.2.0,0.0036657089999607706,0.009013917000174843,6.007686461167999,0.022474414739951907,6.017151617724283,0.018208202481912787,5.981463764679114,6.052839470769453,100000,0.95,-0.025500432017731,0.38935,10.487567720533733,0,0
2,5000,5,1.2.4,1.2.0,0.004051459000038449,0.008936791999985871,5.960434674728746,0.022235274883491262,5.969899831285031,0.01828817532953613,5.934055232441564,6.005744430128498,100000,0.95,-0.07275221845698354,0.40794,329.7533370857352,0,0
2,25000,1,1.2.5,1.2.0,0.014333125000121072,0.008376957999644219,5.928991989694772,0.024469421202923267,5.938457146251057,0.015417628568840889,5.908238783773137,5.968675508728977,100000,0.95,-0.10419490349095728,0.26348,1.0000000000000009,0,0
2,25000,2,1.2.6,1.2.0,0.015559999999823049,0.008412416999817651,5.998804034750527,0.02332651979348962,6.008269191306811,0.017217590841388932,5.974522924900243,6.0420154577133784,100000,0.95,-0.03438285843520372,0.34166,3.1512250110963382,0,0
2,25000,3,1.2.7,1.2.0,0.016775500000221655,0.008594708000146056,6.015868324578014,0.023099978394414335,6.025333481134298,0.017594115380919262,5.990849231258577,6.0598177310100185,100000,0.95,-0.017318568607716855,0.37281,10.456367376401015,0,0
2,25000,5,1.2.8,1.2.0,0.020862333999957627,0.010755667000012181,6.017690781745596,0.02296770662080925,6.02715593830188,0.017741303724236653,5.9923832010825295,6.061928675521231,100000,0.95,-0.015496111440134186,0.383,283.90587070204054,0,0
2,100000,1,1.2.9,1.2.0,0.06181300000025658,0.01051720799978284,5.942179984443479,0.02442941218401807,5.951645140999763,0.015556218551039362,5.921155143860314,5.9821351381392125,100000,0.95,-0.09100690874225137,0.27071,1.000000000000001,0,0
2,100000,2,1.2.10,1.2.0,0.06531833300005019,0.008863749999818538,6.003576649033151,0.023073358754427783,6.0130418055894355,0.01752075921592525,5.978701332895391,6.04738227828348,100000,0.95,-0.029610244152578957,0.34798,3.1407593852178133,0,0
2,100000,3,1.2.11,1.2.0,0.06673145800004932,0.009210959000029106,6.019914510667012,0.023064819940779125,6.029379667223296,0.017607594245273552,5.9948689989391255,6.063890335507466,100000,0.95,-0.01327238251871865,0.36736,10.682176984758165,0,0
2,100000,5,1.2.12,1.2.0,0.07402249999995547,0.009484457999860751,6.023351244362302,0.022847215570555347,6.032816400918586,0.01789491348005935,5.997742590466029,6.067890211371143,100000,0.95,-0.009835648823428578,0.38759,269.68502754287823,0,0
3,5000,1,1.3.1,1.3.0,0.003234708000036335,0.008212875000026543,5.965904951327159,0.024408584223867415,5.960069306512169,0.015711006775548403,5.929275926355374,5.990862686668964,100000,0.95,-0.08258274322984516,0.28221,1.0000000000000002,0,0
3,5000,2,1.3.2,1.3.0,0.003396916999918176,0.008293000000321626,6.034891234232009,0.02332100194425671,6.029055589417018,0.017369255746161282,5.995012061661396,6.06309911717264,100000,0.95,-0.013596460324996507,0.34648,3.2311822257520744,0,0
3,5000,3,1.3.3,1.3.0,0.0035883749997083214,0.008384541999930661,6.021353547808064,0.023582564078639377,6.015517902993073,0.017083324873467188,5.982034796233204,6.049001009752942,100000,0.95,-0.027134146748941212,0.36791,10.140949044039502,0,0
3,5000,5,1.3.4,1.3.0,0.004069458999765629,0.00930229200002941,6.042040392425754,0.022489844223720017,6.036204747610762,0.01829631663859739,6.00034419190161,6.072065303319914,100000,0.95,-0.006447302131252108,0.40017,427.6792037103067,0,0
3,25000,1,1.3.5,1.3.0,0.014659041999948386,0.008580332999827078,5.98201502071269,0.024387115899379964,5.976179375897698,0.015831425553216757,5.9451499764168885,6.0072087753785075,100000,0.95,-0.06647267384431643,0.28167,1.0000000000000009,0,0
3,25000,2,1.3.6,1.3.0,0.01687879199971576,0.008617083999979513,6.042791587942201,0.02308532695351512,6.036955943127209,0.01768059653450922,6.002302191253498,6.07160969500092,100000,0.95,-0.005696106614805352,0.34305,3.160341601512652,0,0
3,25000,3,1.3.7,1.3.0,0.015999458000351297,0.009170124999855034,6.058522843354053,0.02322819548720571,6.052687198539062,0.017629792454515035,6.018133022037644,6.08724137504048,100000,0.95,0.01003514879704781,0.36999,10.602841161679747,0,0
3,25000,5,1.3.8,1.3.0,0.01943666699980895,0.008867208000083338,6.049517291257895,0.02278063723887905,6.043681646442902,0.018086455942580553,6.008232415118287,6.0791308777675175,100000,0.95,0.0010295967008877582,0.39041,257.0123869904433,0,0
