paths,antithetic,rmse,coverage,repetitions
2000,False,0.22362726626468823,0.9,40
8000,False,0.09918765200909904,0.9,40
32000,False,0.04979981721147574,0.925,40
2000,True,0.13862230195873673,0.95,40
8000,True,0.06217026342646263,0.975,40
32000,True,0.039585112262684116,0.9,40
