paths,antithetic,repetition,seed_key,value,standard_error,lower,upper,observations,confidence,error,interval_contains_analytical,seconds
2000,False,0,0.0,5.45660731144917,0.19295394991604772,5.078195398543794,5.8350192243545465,2000,0.95,-0.11691871080780025,True,0.0009675830001469876
2000,False,1,0.1,5.276719713234577,0.18768103187777804,4.908648791028396,5.644790635440758,2000,0.95,-0.2968063090223936,True,0.00014870900031382916
2000,False,2,0.2,5.123928996031644,0.18575678625330894,4.759631810864648,5.48822618119864,2000,0.95,-0.4495970262253266,False,0.00010487500003364403
2000,False,3,0.3,5.756571481954845,0.1978219343694459,5.368612714425319,6.144530249484371,2000,0.95,0.18304545969787434,True,9.36669998736761e-05
2000,False,4,0.4,5.31547885855476,0.18955530354972921,4.943732205797347,5.687225511312174,2000,0.95,-0.25804716370221037,True,8.904199967219029e-05
2000,False,5,0.5,5.759329799365474,0.19501346021274196,5.37687887491688,6.141780723814069,2000,0.95,0.1858037771085037,True,8.529199976692325e-05
2000,False,6,0.6,5.7224641423325595,0.1938477325253933,5.342299386393542,6.102628898271577,2000,0.95,0.14893812007558882,True,8.187499997802661e-05
2000,False,7,0.7,5.751448044692552,0.19578566006527756,5.367482719406502,6.135413369978601,2000,0.95,0.17792202243558108,True,7.958400010465994e-05
2000,False,8,0.8,5.4923792055551495,0.19157071704840484,5.116680021752577,5.868078389357722,2000,0.95,-0.08114681670182122,True,7.845799973438261e-05
2000,False,9,0.9,5.868719558704268,0.1959384128587284,5.484454662060407,6.2529844553481295,2000,0.95,0.2951935364472975,True,7.699999969190685e-05
2000,False,10,0.10,5.736684835713194,0.19691852932611636,5.350497782267382,6.122871889159006,2000,0.95,0.1631588134562234,True,7.804100005159853e-05
2000,False,11,0.11,6.03163382665378,0.20070962608970958,5.638011858406044,6.425255794901517,2000,0.95,0.45810780439680965,False,8.058399998844834e-05
2000,False,12,0.12,5.51768087466617,0.1947576527451454,5.135731627395943,5.899630121936397,2000,0.95,-0.055845147590800615,True,7.825000011507655e-05
2000,False,13,0.13,5.146401170809801,0.1825203466396909,4.788451133787348,5.504351207832254,2000,0.95,-0.4271248514471697,False,7.612500030518277e-05
2000,False,14,0.14,5.605260353144322,0.1919039611550306,5.228907627188778,5.9816130790998665,2000,0.95,0.03173433088735145,True,7.562500013591489e-05
2000,False,15,0.15,5.455176155252551,0.1921614867414016,5.078318382627565,5.8320339278775375,2000,0.95,-0.11834986700441963,True,7.445799974448164e-05
2000,False,16,0.16,5.922011110245836,0.1989935859422145,5.531754556570429,6.312267663921243,2000,0.95,0.34848508798886524,True,7.41250000828586e-05
2000,False,17,0.17,5.966741397141478,0.20262548531562327,5.569362138851994,6.364120655430962,2000,0.95,0.3932153748845071,True,7.437500016749254e-05
2000,False,18,0.18,5.700321045639348,0.1955245598356593,5.316867777439421,6.0837743138392755,2000,0.95,0.12679502338237736,True,7.529199956479715e-05
2000,False,19,0.19,5.896197815650558,0.2009773334803331,5.50205083267351,6.290344798627605,2000,0.95,0.322671793393587,True,7.54580000830174e-05
2000,False,20,0.20,5.416233096920229,0.19402598163759102,5.03571876748168,5.796747426358778,2000,0.95,-0.15729292533674144,True,7.337499982895679e-05
2000,False,21,0.21,5.803331350234628,0.19688045180148903,5.417218972580316,6.18944372788894,2000,0.95,0.2298053279776573,True,7.299999970200588e-05
2000,False,22,0.22,5.840791179635069,0.1973189706277247,5.453818800161914,6.227763559108224,2000,0.95,0.2672651573780982,True,7.41250000828586e-05
2000,False,23,0.23,5.512971130755406,0.19540343338024746,5.12975540987553,5.896186851635282,2000,0.95,-0.06055489150156479,True,7.320900022023125e-05
2000,False,24,0.24,5.635213011501672,0.19570109997701451,5.251413521352809,6.0190125016505345,2000,0.95,0.061686989244701174,True,7.445800019922899e-05
2000,False,25,0.25,5.584280396155092,0.19028942688035033,5.2110940163852515,5.957466775924933,2000,0.95,0.010754373898121727,True,7.35839998924348e-05
2000,False,26,0.26,5.356793160552497,0.1850827687671443,4.993817825735713,5.719768495369282,2000,0.95,-0.21673286170447348,True,7.75420003265026e-05
2000,False,27,0.27,5.670226531119519,0.1931170007797711,5.291494850781191,6.048958211457846,2000,0.95,0.09670050886254788,True,7.591600024170475e-05
2000,False,28,0.28,5.509717379921759,0.1929208310423836,5.131370418142503,5.888064341701015,2000,0.95,-0.06380864233521155,True,7.904200037955889e-05
2000,False,29,0.29,5.058951978480876,0.18592103412683592,4.694332678363453,5.4235712785983,2000,0.95,-0.5145740437760944,False,7.345799986069323e-05
2000,False,30,0.30,5.688671745397745,0.1928389928781268,5.310485280650545,6.066858210144944,2000,0.95,0.11514572314077398,True,7.316600022022612e-05
2000,False,31,0.31,5.573762485715086,0.1960423215698979,5.189293808354747,5.958231163075426,2000,0.95,0.00023646345811556557,True,7.487500033676042e-05
2000,False,32,0.32,5.401739273273841,0.18986537930274183,5.029384515013047,5.774094031534635,2000,0.95,-0.17178674898312973,True,7.4915999903169e-05
2000,False,33,0.33,5.517452117820602,0.19558107253427778,5.133888019661521,5.901016215979682,2000,0.95,-0.05607390443636895,True,7.433300015691202e-05
2000,False,34,0.34,5.644831901046157,0.19185964934777788,5.268566077254336,6.021097724837977,2000,0.95,0.07130587878918604,True,7.354200033660163e-05
2000,False,35,0.35,5.516043334260733,0.19408178773429352,5.1354195606163815,5.896667107905084,2000,0.95,-0.05748268799623801,True,7.512499996664701e-05
2000,False,36,0.36,5.4204710239547556,0.19026906410703376,5.047324578666723,5.793617469242788,2000,0.95,-0.15305499830221514,True,8.42079998619738e-05
2000,False,37,0.37,5.704162089248213,0.19384530377779732,5.324002096450992,6.084322082045435,2000,0.95,0.13063606699124275,True,7.858299977669958e-05
2000,False,38,0.38,5.634978885356551,0.19331383215579223,5.255861188885605,6.014096581827497,2000,0.95,0.06145286309958031,True,7.870899980844115e-05
2000,False,39,0.39,5.599145881970384,0.19320582483664192,5.2202400042067785,5.978051759733989,2000,0.95,0.025619859713413184,True,7.804200004102313e-05
2000,True,0,0.40,5.593550229368961,0.14691620960199306,5.305250459954397,5.881849998783524,1000,0.95,0.020024207111990044,True,8.129199977702228e-05
2000,True,1,0.41,5.577684521218835,0.15047065895081108,5.282409708475587,5.872959333962083,1000,0.95,0.004158498961864154,True,7.837500015739352e-05
2000,True,2,0.42,5.5455429703124635,0.14712534536290053,5.256832805123266,5.834253135501661,1000,0.95,-0.02798305194450723,True,7.404200005112216e-05
2000,True,3,0.43,5.376826645689154,0.14932032635574036,5.0838091782913075,5.6698441130870005,1000,0.95,-0.19669937656781666,True,7.254100000864128e-05
2000,True,4,0.44,5.676500459344362,0.14715582521849774,5.387730482270797,5.965270436417928,1000,0.95,0.10297443708739173,True,7.808300006217905e-05
2000,True,5,0.45,5.704221185061893,0.1486827217069035,5.412454915702271,5.995987454421516,1000,0.95,0.13069516280492266,True,8.416599985139328e-05
2000,True,6,0.46,5.5418783326728445,0.14753583518780386,5.252362646280866,5.831394019064823,1000,0.95,-0.031647689584126226,True,7.520799999838346e-05
2000,True,7,0.47,5.456454051546781,0.15420119081502573,5.153858661454306,5.759049441639256,1000,0.95,-0.11707197071018971,True,7.5459000072442e-05
2000,True,8,0.48,5.799333827663137,0.1496627295573672,5.505644448266313,6.093023207059961,1000,0.95,0.2258078054061663,True,7.599999980811845e-05
2000,True,9,0.49,5.670219597560312,0.14781850856298517,5.380149209484256,5.960289985636368,1000,0.95,0.0966935753033411,True,7.574999972348451e-05
2000,True,10,0.50,5.358889184722604,0.143892437115651,5.076523089427025,5.641255280018183,1000,0.95,-0.2146368375343668,True,7.52920000195445e-05
2000,True,11,0.51,5.598937035086697,0.15325564660882673,5.298197125593381,5.899676944580014,1000,0.95,0.025411012829726687,True,7.495799991374952e-05
2000,True,12,0.52,5.452646163301315,0.1456385652041386,5.166853568461247,5.738438758141384,1000,0.95,-0.12087985895565545,True,7.495800036849687e-05
2000,True,13,0.53,5.733047429191132,0.1457370347379053,5.447061603502295,6.01903325487997,1000,0.95,0.15952140693416172,True,7.537500005128095e-05
2000,True,14,0.54,5.609542930833615,0.15053081662202447,5.31415006819794,5.904935793469289,1000,0.95,0.03601690857664419,True,7.216700032586232e-05
2000,True,15,0.55,5.605095647219014,0.1437724555444754,5.3229649967351245,5.887226297702903,1000,0.95,0.031569624962043186,True,7.091699990269262e-05
2000,True,16,0.56,5.62233725751059,0.1491357167542219,5.3296820571879255,5.914992457833254,1000,0.95,0.04881123525361897,True,7.079099987095105e-05
2000,True,17,0.57,5.534728399994061,0.1501081204228763,5.240165011635439,5.829291788352684,1000,0.95,-0.03879762226290939,True,7.37499999559077e-05
2000,True,18,0.58,5.359552974835356,0.1506127776732606,5.063999276630643,5.65510667304007,1000,0.95,-0.21397304742161438,True,7.216699987111497e-05
2000,True,19,0.59,5.572074332699258,0.14644567982839912,5.284697903368116,5.8594507620304,1000,0.95,-0.0014516895577125766,True,7.112499997674604e-05
2000,True,20,0.60,5.681427286164221,0.14923087388029047,5.388585355067751,5.974269217260692,1000,0.95,0.10790126390725074,True,7.204200028354535e-05
2000,True,21,0.61,5.683646709455258,0.15472120233535758,5.380030879196168,5.987262539714347,1000,0.95,0.11012068719828694,True,7.145800009311642e-05
2000,True,22,0.62,5.713486038900377,0.14855039720770133,5.421979435391862,6.004992642408892,1000,0.95,0.13996001664340607,True,7.083399987095618e-05
2000,True,23,0.63,5.522060697239147,0.15420098927539283,5.219465702636249,5.824655691842045,1000,0.95,-0.05146532501782364,True,7.083299988153158e-05
2000,True,24,0.64,5.399274814016247,0.14460886450706134,5.1155028435466114,5.683046784485883,1000,0.95,-0.17425120824072327,True,7.079199986037565e-05
2000,True,25,0.65,5.6016813881202685,0.14615968899635381,5.314866170456353,5.888496605784184,1000,0.95,0.02815536586329781,True,7.154200011427747e-05
2000,True,26,0.66,5.71101961127517,0.15007120810340235,5.416528657491478,6.005510565058863,1000,0.95,0.13749358901819964,True,7.129100004021893e-05
2000,True,27,0.67,5.897994377468032,0.15104571972253192,5.601591099129765,6.1943976558062985,1000,0.95,0.324468355211061,False,7.062500026222551e-05
2000,True,28,0.68,5.598101183904584,0.14930241739855507,5.305118859995948,5.89108350781322,1000,0.95,0.024575161647613086,True,7.087500034685945e-05
2000,True,29,0.69,5.4142764344842504,0.14390772090312107,5.131880347178836,5.696672521789665,1000,0.95,-0.15924958777272025,True,7.054100024106447e-05
2000,True,30,0.70,5.554907235028842,0.1491159947381342,5.262290736036044,5.84752373402164,1000,0.95,-0.01861878722812893,True,7.179100020948681e-05
2000,True,31,0.71,5.302637156400697,0.14533843657528292,5.017433516412705,5.587840796388688,1000,0.95,-0.27088886585627403,True,7.058300025164499e-05
2000,True,32,0.72,5.732911468270078,0.1468323191469593,5.444776320573621,6.021046615966536,1000,0.95,0.15938544601310767,True,7.050000021990854e-05
2000,True,33,0.73,5.550271109655288,0.146405743317612,5.262973049395076,5.8375691699155,1000,0.95,-0.023254912601682776,True,7.03339997016883e-05
2000,True,34,0.74,5.5256998912635735,0.15517696979853018,5.221189689614865,5.830210092912282,1000,0.95,-0.047826130993397165,True,7.041599974400015e-05
2000,True,35,0.75,5.9005264379012266,0.1512133032440822,5.603794303470419,6.197258572332034,1000,0.95,0.32700041564425586,False,7.050000021990854e-05
2000,True,36,0.76,5.590660743138125,0.15492042783473645,5.28665396442149,5.89466752185476,1000,0.95,0.01713472088115431,True,7.066600028338144e-05
2000,True,37,0.77,5.65303145140502,0.1513086536577893,5.35611220690406,5.949950695905981,1000,0.95,0.0795054291480497,True,7.108399995559012e-05
