rate,volatility,european,bermudan,premium
0.0,0.1,3.987761167674492,3.9874504332656286,-0.0003107344088633113
0.0,0.2,7.965567455405804,7.965413571952022,-0.0001538834537821998
0.0,0.4,15.851941887820608,15.851867941730543,-7.394609006539099e-05
0.02,0.1,3.0368479369379386,3.205752810719481,0.16890487378154218
0.02,0.2,6.93590460924807,7.0899821320026435,0.15407752275457387
0.02,0.4,14.724284530322336,14.874279260653875,0.14999473033153876
0.05,0.1,1.92790015889355,2.394587090827991,0.4666869319344409
0.05,0.2,5.573526022256971,6.042652049742014,0.46912602748504373
0.05,0.4,13.145893900288087,13.6129602946477,0.4670663943596125
0.1,0.1,0.7918927292303746,1.5594168395694405,0.767524110339066
0.1,0.2,3.753418388256833,4.730136713394229,0.9767183251373961
0.1,0.4,10.80221111365465,11.857057640170668,1.0548465265160178
